Day,Month,Year,Venue,City,Country,Tour,Latitude,Longitude
12,Feb,1971,Stirling University,Stirling,England,Winter 1971 Tour,51.4510508,-1.0037246
13,Feb,1971,Stratchclyde University,Glasgow,Scotland,Winter 1971 Tour,55.861155,-4.2501687
14,Feb,1971,Dunfermline Kinema,Dunfermline,England,Winter 1971 Tour,,
20,Feb,1971,City Hall,Newcastle Upon Tyne,England,Winter 1971 Tour,54.9738474,-1.6131572
24,Feb,1971,Imperial College,London,England,Winter 1971 Tour,51.4893335,-0.1440551
26,Feb,1971,Brunel University,Uxbridge,England,Winter 1971 Tour,51.5449509,-0.4816672
27,Feb,1971,Bradford University,Bradford,England,Winter 1971 Tour,53.7944229,-1.7519186
3,Mar,1971,Royal Festival Hall,london,England,Winter 1971 Tour,51.4893335,-0.1440551
6,Mar,1971,Leicester University,Leicester,England,Winter 1971 Tour,52.6362,-1.1331969
13,Mar,1971,Kingston College Epsom Baths Hall,Epsom,England,Winter 1971 Tour,51.3326098,-0.2678212
14,Mar,1971,Colston Hall,Bristol,England,Winter 1971 Tour,51.4538022,-2.5972985
20,Mar,1971,University College,London,England,Winter 1971 Tour,51.4893335,-0.1440551
28,Mar,1971,Fairfield Hall,Croydon,England,Winter 1971 Tour,51.3713049,-0.101957
2,Apr,1971,Loew's State Theatre,Providence,USA,Spring 1971 Tour,41.8239891,-71.4128343
3,Apr,1971,Mayser Gym,Lancaster,USA,Spring 1971 Tour,40.0379958,-76.3056707
7,Apr,1971,The Spectrum,Philadelphia,USA,Spring 1971 Tour,39.9527237,-75.1635262
8,Apr,1971,Fillmore East,New York,USA,Spring 1971 Tour,40.7127281,-74.0060152
9,Apr,1971,Fillmore East,New York,USA,Spring 1971 Tour,40.7127281,-74.0060152
10,Apr,1971,Fillmore East,New York,USA,Spring 1971 Tour,40.7127281,-74.0060152
11,Apr,1971,Painters Mill Music Fair,Owings Mills,USA,Spring 1971 Tour,39.4148436,-76.7918234
13,Apr,1971,Auditorium Theatre,Chicago,USA,Spring 1971 Tour,41.8755616,-87.6244212
14,Apr,1971,Auditorium Theatre,Chicago,USA,Spring 1971 Tour,41.8755616,-87.6244212
15,Apr,1971,Auditorium Theatre,Chicago,USA,Spring 1971 Tour,41.8755616,-87.6244212
16,Apr,1971,Memorial Building,Detroit,USA,Spring 1971 Tour,42.3315509,-83.0466403
17,Apr,1971,Veterans Memorial Auditorium,Columbus,USA,Spring 1971 Tour,39.9622601,-83.0007065
18,Apr,1971,Cincinnati Music Hall,Cincinnati,USA,Spring 1971 Tour,39.1014537,-84.5124602
20,Apr,1971,Civic Auditorium,Omaha,USA,Spring 1971 Tour,41.2587459,-95.9383758
21,Apr,1971,unknown,Portland,USA,Spring 1971 Tour,45.5202471,-122.674194
23,Apr,1971,Agrodome Theatre,Vancouver,Canada,Spring 1971 Tour,49.2608724,-123.113952
24,Apr,1971,Seattle Center Coliseum,Seattle,USA,Spring 1971 Tour,47.6038321,-122.330062
29,Apr,1971,Denver Coliseum,Denver,USA,Spring 1971 Tour,39.7392364,-104.984862
1,May,1971,Honolulu International Center,Honolulu,USA,Spring 1971 Tour,21.304547,-157.855676
9,May,1971,Civic Auditorium,San Francisco,USA,Spring 1971 Tour,37.7792588,-122.4193286
11,May,1971,Sacramento Auditorium,Sacramento,USA,Spring 1971 Tour,38.5810606,-121.493895
12,May,1971,Convention Center,Fresno,USA,Spring 1971 Tour,36.7394421,-119.78483
14,May,1971,Anaheim Convention Center,Anaheim,USA,Spring 1971 Tour,33.8347516,-117.911732
15,May,1971,University Arena,Albuquerque,USA,Spring 1971 Tour,35.0841034,-106.650985
16,May,1971,Denver Municipal Auditorium,Denver,USA,Spring 1971 Tour,39.7392364,-104.984862
17,May,1971,University Of Colorado,Boulder,USA,Spring 1971 Tour,40.0149856,-105.270545
19,May,1971,Civic Center Music Hall,Oklahoma City,USA,Spring 1971 Tour,35.4729886,-97.5170536
20,May,1971,Sam Houston Coliseum,Houston,USA,Spring 1971 Tour,29.7589382,-95.3676974
21,May,1971,Municipal Auditorium,San Antonio,USA,Spring 1971 Tour,29.4246002,-98.4951405
22,May,1971,Fair Park Music Hall,Dallas,USA,Spring 1971 Tour,32.7762719,-96.7968559
23,May,1971,Memorial Hall,Kansas City,USA,Spring 1971 Tour,39.100105,-94.5781416
24,May,1971,Tarrant County Theatre,Fort Worth,USA,Spring 1971 Tour,32.753177,-97.3327459
26,May,1971,The Warehouse,New Orleans,USA,Spring 1971 Tour,29.9559145,-90.0730259
28,May,1971,Curtis Hixon Auditorium,Tampa,USA,Spring 1971 Tour,27.9477595,-82.458444
29,May,1971,Jai Alai Arena,Miami,USA,Spring 1971 Tour,25.7741728,-80.19362
30,May,1971,Jacksonville Coliseum,Jacksonville,USA,Spring 1971 Tour,30.3321838,-81.655651
4,Jun,1971,Kiel Auditorium,St. Louis,USA,Spring 1971 Tour,38.6280278,-90.1910154
5,Jun,1971,Ellis Auditorium,Memphis,USA,Spring 1971 Tour,35.1460249,-90.0517638
6,Jun,1971,Convention Center,Louisville,USA,Spring 1971 Tour,38.2542376,-85.759407
8,Jun,1971,Municipal Auditorium,Atlanta,USA,Spring 1971 Tour,33.7544657,-84.3898151
10,Jun,1971,Carnegie Hall,New York,USA,Spring 1971 Tour,40.7127281,-74.0060152
11,Jun,1971,Carnegie Hall,New York,USA,Spring 1971 Tour,40.7127281,-74.0060152
12,Jun,1971,Cleveland Public Auditorium,Cleveland,USA,Spring 1971 Tour,41.4996574,-81.6936772
13,Jun,1971,Rhode Island Auditorium,Providence,USA,Spring 1971 Tour,41.8239891,-71.4128343
14,Jun,1971,Kleinhans Music Hall,Buffalo,USA,Spring 1971 Tour,42.8867166,-78.8783922
16,Jun,1971,Merriweather Post Pavilion,Columbia,USA,Spring 1971 Tour,34.000754,-81.0352313
18,Jun,1971,Farm Show Arena,Harrisburg,USA,Spring 1971 Tour,40.2663107,-76.8861122
8,Jul,1971,Gröna Lund,Stockholm,Sweden,none,59.3251172,18.0710935
31,Jul,1971,Crystal Palace Bowl,London,England,garden party show,51.4893335,-0.1440551
8,Aug,1971,unknown,Vilar dos Mouros,Portugal,Vilar dos Mouros Festival,,
27,Aug,1971,Wildwood Convention Center,Wildwood,USA,third us tour,38.5806948,-90.6314374
28,Aug,1971,Convention Hall,Asbury Park,USA,third us tour,40.2203907,-74.0120817
30,Aug,1971,Milwaukee Auditorium,Milwaukee,USA,third us tour,43.0386475,-87.9090751
31,Aug,1971,Minneapolis Auditorium,Minneapolis,USA,1971 Tour,44.9772995,-93.2654692
2,Sep,1971,Saratoga Performing Arts Center,Saratoga Springs,USA,third us tour,43.0821793,-73.7853915
3,Sep,1971,Onondaga War Memorial,Syracuse,USA,third us tour,43.0481221,-76.1474244
4,Sep,1971,Rochester War Memorial,Rochester,USA,third us tour,43.157285,-77.615214
6,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
7,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
8,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
9,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
10,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
11,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
12,Sep,1971,The Greek Theatre,Los Angeles,USA,third us tour,34.0536909,-118.242766
15,Sep,1971,Convention Center,Las Vegas,USA,third us tour,36.1674263,-115.1484131
16,Sep,1971,Washoe County Fairgrounds,Reno,USA,third us tour,39.5261788,-119.812658
18,Sep,1971,Community Concourse,San Diego,USA,third US tour,32.7174202,-117.162772
5,Oct,1971,Shibuya Kohkaido,Tokyo,Japan,japan tour,35.6768601,139.7638947
6,Oct,1971,Shibuya Kohkaido,Tokyo,Japan,japan tour,35.6768601,139.7638947
7,Oct,1971,Ohsaka Kohsei Nenkin Hall,Ohsaka,Japan,japan tour,,
8,Oct,1971,Kohsei Nenkin Hall,Osaka,Japan,japan tour,34.6937569,135.5014539
10,Oct,1971,Shinjuku Kohsei Nenkin Hall,Tokyo,Japan,japan tour,35.6768601,139.7638947
11,Oct,1971,Shinjuku Kohsei Nenkin Hall,Tokyo,Japan,japan tour,35.6768601,139.7638947
16,Oct,1971,Subiaco Oval,Perth,Australia,first Australian Tour,-31.9558967,115.8605784
17,Oct,1971,Subiaco Oval,Perth,Australia,first australian tour,-31.9558967,115.8605784
22,Oct,1971,Memorial Drive,Adelaide,Australia,first Australian Tour,-34.9281805,138.5999312
24,Oct,1971,Kooyong Stadium,Melbourne,Australia,first Australian tour,-37.8142454,144.9631732
26,Oct,1971,Festival Hall,Brisbane,Australia,First Australian Tour,-27.4689623,153.0235009
29,Oct,1971,Western Springs Stadium,Auckland,New Zealand,1st australian tour,-36.852095,174.7631803
31,Oct,1971,Randwick Stadium,Sydney,Australia,1st australian tour,-33.8698439,151.2082848
21,Nov,1971,Coventry Theatre,Coventry,England,UK Fall 1971 Tour,52.4081812,-1.510477
22,Nov,1971,Free Trade Hall,Manchester,England,UK Fall 1971 Tour,53.4794892,-2.2451148
24,Nov,1971,De Montfort Hall,Leicester,England,UK Fall 1971 Tour,52.6362,-1.1331969
26,Nov,1971,Winter Gardens,Bournemouth,England,UK Fall 1971 Tour,50.7201514,-1.8799118
27,Nov,1971,ABC Theatre,Plymouth,England,UK Fall 1971 Tour,50.3714122,-4.1424451
28,Nov,1971,Colston Hall,Bristol,England,UK Fall 1971 Tour,51.4538022,-2.5972985
3,Dec,1971,Town Hall,Birmingham,England,UK Fall 1971 Tour,52.4796992,-1.9026911
4,Dec,1971,Brighton Dome,Brighton,England,UK Fall 1971 Tour,50.8214626,-0.1400561
5,Dec,1971,Fairfield Hall,Croydon,England,UK Fall 1971 Tour,51.3713049,-0.101957
10,Dec,1971,City Hall,Newcastle Upon Tyne,England,UK Fall 1971 Tour,54.9738474,-1.6131572
11,Dec,1971,ABC Theatre,Stockton On Tees,England,UK Fall 1971 Tour,54.564094,-1.3129164
16,Dec,1971,Town hall,Leeds,England,UK Fall 1971 Tour,53.7974185,-1.5437941
17,Dec,1971,City Hall,Sheffield,England,UK Fall 1971 Tour,53.3806626,-1.4702278
5,Feb,1972,Royal Festival Hall,London,England,Winter 1972 Tour,51.4893335,-0.1440551
20,Feb,1972,Shaw Theatre NYT,London,England,benefit of the national youth theatre,51.4893335,-0.1440551
23,Feb,1972,Exeter University,Exeter,England,Winter 1972 Tour,50.7256138,-3.5269209
24,Feb,1972,Watford Town Hall,Watford,England,Winter 1972 Tour,51.6553875,-0.3957425
26,Feb,1972,Waltham Forest Technical College,Waltham Forest,England,Winter 1972 Tour,51.6095521,0.0023217
27,Feb,1972,Shaw Theatre NYT,London,England,benefit of the national youth theatre,51.4893335,-0.1440551
1,Mar,1972,The Music Hall,Aberdeen,England,Winter 1972 Tour,54.8823224,-1.601189
2,Mar,1972,Caird Hall,Dundee,England,Winter 1972 Tour,53.7516241,-1.8285648
3,Mar,1972,Kelvin Hall,Glasgow,Scotland,Winter 1972 Tour,55.861155,-4.2501687
4,Mar,1972,Empire Theatre,Edinburgh,Scotland,Winter 1972 Tour,55.9533456,-3.1883749
12,Mar,1972,Jahrhunderhalle,Frankfurt,Germany,Winter 1972 Tour,50.1106444,8.6820917
16,Mar,1972,Musikhalle,Hamburg,Germany,Winter 1972 Tour,53.550341,10.000654
19,Mar,1972,Deutschlandhalle,Berlin,Germany,Winter 1972 Tour,52.5173885,13.3951309
20,Mar,1972,Jahrhunderthalle,Frankfurt,Germany,Winter 1972 Tour,50.1106444,8.6820917
26,Apr,1972,Heart O' Texas Coliseum,Waco,USA,first leg of north american tour,31.5491899,-97.1474628
28,Apr,1972,Hofheinz Pavilion,Houston,USA,first leg of north american tour,29.7589382,-95.3676974
30,Apr,1972,Municipal Auditorium,Austin,USA,first leg of north american tour,30.2711286,-97.7436995
2,May,1972,Brewer Fieldhouse,Columbia,USA,first leg of north american tour,34.000754,-81.0352313
3,May,1972,Athletic And Convocation Center,Notre Dame,USA,first leg of north american tour,41.7045677,-86.2382203
4,May,1972,Jenison Field House,East Lansing,USA,first leg of north american tour,42.7320307,-84.4721678
5,May,1972,Memorial Gymnasium,Kent,USA,first leg of north american tour,33.1665316,-100.7846477
6,May,1972,St. John Arena,Columbus,USA,first leg of north american tour,39.9622601,-83.0007065
7,May,1972,Millett Hall,Oxford,USA,first leg of north american tour,34.3663773,-89.5187664
8,May,1972,Arie Crown Theater,Chicago,USA,first leg of north american tour,41.8755616,-87.6244212
9,May,1972,Arie Crown Theater,Chicago,USA,first leg of north american tour,41.8755616,-87.6244212
10,May,1972,Assembly Hall,Champaign,USA,first leg of north american tour,40.1164841,-88.2430932
12,May,1972,Outdoor Performing Arts Facility,Carbondale,USA,first leg of north american tour,37.7274692,-89.216655
13,May,1972,Field House,DeKalb,USA,first leg of north american tour,41.8903447,-88.7713953
15,May,1972,Halenbeck Hall,Saint Cloud,USA,first leg of north american tour,45.5616075,-94.1642004
3,Jun,1972,Crystal Palace,London,England,garden party,51.4893335,-0.1440551
26,Aug,1972,Guildhall,Portsmouth,England,Tour with Linda Lewis,50.800031,-1.0906023
27,Aug,1972,Shaw Theatre,London,England,Tour with Linda Lewis,51.4893335,-0.1440551
31,Aug,1972,City Hall,Newcastle,England,Tour with Linda Lewis,54.9738474,-1.6131572
1,Sep,1972,Free Trade Hall,Manchester,England,Tour with Linda Lewis,53.4794892,-2.2451148
3,Sep,1972,Fairfield Hall,Croydon,England,Tour with Linda Lewis,51.3713049,-0.101957
8,Sep,1972,Green's Playhouse,Glasgow,Scotland,Tour with Linda Lewis,55.861155,-4.2501687
10,Sep,1972,New Theatre,Oxford,England,Tour with Linda Lewis,51.7520131,-1.2578499
17,Sep,1972,Shaw Theatre,London,England,Tour with Linda Lewis,51.4893335,-0.1440551
26,Sep,1972,Barton Hall,Ithaca,USA,Legs Larry Tour,42.4374175,-76.5483724
27,Sep,1972,Boston Music Hall,Boston,USA,Legs Larry Tour,42.3554334,-71.060511
28,Sep,1972,Boston Music Hall,Boston,USA,Legs Larry Tour,42.3554334,-71.060511
29,Sep,1972,New Haven Arena,New Haven,USA,Legs Larry Tour,41.3082138,-72.9250518
30,Sep,1972,The Spectrum,Philadelphia,USA,Legs Larry Tour,39.9527237,-75.1635262
1,Oct,1972,Rochester War Memorial,Rochester,USA,Legs Larry Tour,43.157285,-77.615214
2,Oct,1972,The Forum,Montreal,Canada,Legs Larry Tour,45.5031824,-73.5698065
5,Oct,1972,Maple Leaf Gardens,Toronto,Canada,Legs Larry Tour,43.6534817,-79.3839347
6,Oct,1972,Cobo Hall,Detroit,USA,Legs Larry Tour,42.3315509,-83.0466403
7,Oct,1972,Memorial Auditorium,Buffalo,USA,Legs Larry Tour,42.8867166,-78.8783922
9,Oct,1972,Nassau Coliseum,Uniondale,USA,Legs Larry Tour,40.7157545,-73.5898872
11,Oct,1972,Horton Fieldhouse,Normal,USA,Legs Larry Tour,40.5092961,-88.9843937
12,Oct,1972,Wichita Civic Center,Wichita,USA,Legs Larry Tour,37.6922361,-97.3375448
13,Oct,1972,Allen Fieldhouse,Lawrence,USA,Legs Larry Tour,38.9719137,-95.2359403
14,Oct,1972,Hilton Coliseum,Ames,USA,Legs Larry Tour,42.0267567,-93.6170448
15,Oct,1972,Auditorium Arena,Denver,USA,Legs Larry Tour,39.7392364,-104.984862
18,Oct,1972,Honolulu International Center,Honolulu,USA,Legs Larry Tour,21.304547,-157.855676
20,Oct,1972,Seattle Center Coliseum,Seattle,USA,Legs Larry Tour,47.6038321,-122.330062
21,Oct,1972,Berkeley Community Theatre,Berkeley,USA,Legs Larry Tour,37.8708393,-122.272863
22,Oct,1972,Anaheim Convention Center,Anaheim,USA,Legs Larry Tour,33.8347516,-117.911732
23,Oct,1972,The Forum,Los Angeles,USA,Legs Larry Tour,34.0536909,-118.242766
24,Oct,1972,The Forum,Los Angeles,USA,Legs Larry Tour,34.0536909,-118.242766
25,Oct,1972,Berkeley Community Theatre,Berkeley,USA,Legs Larry Tour,37.8708393,-122.272863
26,Oct,1972,Tucson Convention Center,Tucson,USA,Legs Larry Tour,32.2228765,-110.974847
27,Oct,1972,Sports Arena,San Diego,USA,Legs Larry Tour,32.7174202,-117.162772
30,Oct,1972,London Palladium,London,England,command performance for the queen,51.4893335,-0.1440551
1,Nov,1972,Oklahoma State University,Stillwater,USA,Legs Larry Tour,36.1156306,-97.0585717
2,Nov,1972,Tulsa Assembly Center,Tulsa,USA,Legs Larry Tour,36.1563122,-95.9927516
3,Nov,1972,Fairgrounds Arena,Oklahoma City,USA,Legs Larry Tour,35.4729886,-97.5170536
4,Nov,1972,Municipal Auditorium,Kansas City,USA,Legs Larry Tour,39.100105,-94.5781416
5,Nov,1972,Dallas Memorial Auditorium,Dallas,USA,Legs Larry Tour,32.7762719,-96.7968559
8,Nov,1972,Texas A and M,College Station,USA,Legs Larry Tour,30.6183939,-96.3455991
9,Nov,1972,Municipal Auditorium,San Antonio,USA,Legs Larry Tour,29.4246002,-98.4951405
10,Nov,1972,LSU Assembly Center,Baton Rouge,USA,Legs Larry Tour,30.4494155,-91.1869659
11,Nov,1972,Mid South Coliseum,Memphis,USA,Legs Larry Tour,35.1460249,-90.0517638
12,Nov,1972,Memorial Auditorium,Nashville,USA,Legs Larry Tour,36.1622767,-86.7742984
13,Nov,1972,Scope Auditorium,Norfolk,USA,Legs Larry Tour,36.8493695,-76.2899539
14,Nov,1972,University Of Alabama,Tuscaloosa,USA,Legs Larry Tour,33.2095614,-87.5675258
15,Nov,1972,Atlanta Coliseum,Atlanta,USA,Legs Larry Tour,33.7544657,-84.3898151
16,Nov,1972,Charlotte Coliseum,Charlotte,USA,Legs Larry Tour,35.2272086,-80.8430827
17,Nov,1972,Charleston Civic Center,Charleston,USA,Legs Larry Tour,32.7884363,-79.9399309
18,Nov,1972,Hampton Roads Coliseum,Hampton,USA,Legs Larry Tour,37.0264414,-76.3442846
19,Nov,1972,Carnegie Hall,New York,USA,Legs Larry Tour,40.7127281,-74.0060152
20,Nov,1972,Carnegie Hall,New York,USA,Legs Larry Tour,40.7127281,-74.0060152
21,Nov,1972,Baltimore Civic Center,Baltimore,USA,Legs Larry Tour,39.2908816,-76.610759
22,Nov,1972,State Farm Arena,Harrisburg,USA,Legs Larry Tour,40.2663107,-76.8861122
24,Nov,1972,Jacksonville Coliseum,Jacksonville,USA,Legs Larry Tour,30.3321838,-81.655651
25,Nov,1972,Hollywood Sportatorium,Hollywood,USA,Legs Larry Tour,34.0980031,-118.329523
26,Nov,1972,Bay Front Center,St. Petersburg,USA,Legs Larry Tour,27.7700475,-82.6359078
20,Jan,1973,Carnegie Hall,New York,USA,dusty springfield concert,40.7127281,-74.0060152
24,Feb,1973,Starlight Rooms,Boston,England,Spring 1973 Tour,52.9776561,-0.0237985
25,Feb,1973,Greens Playhouse,Glasgow,Scotland,Spring 1973 Tour,55.861155,-4.2501687
28,Feb,1973,Town Hall,Birmingham,England,Spring 1973 Tour,52.4796992,-1.9026911
1,Mar,1973,De Montfort Hall,Leicester,England,Spring 1973 Tour,52.6362,-1.1331969
2,Mar,1973,Liverpool Empire,Liverpool,England,Spring 1973 Tour,53.4071991,-2.99168
3,Mar,1973,Liverpool Empire,Liverpool,England,Spring 1973 Tour,53.4071991,-2.99168
5,Mar,1973,The Heavy Steam Machine,Stoke on Trent,England,Spring 1973 Tour,53.0162014,-2.1812607
6,Mar,1973,Guild Hall,Preston,England,Spring 1973 Tour,53.7593363,-2.6992717
7,Mar,1973,City Hall,Newcastle Upon Tyne,England,Spring 1973 Tour,54.9738474,-1.6131572
9,Mar,1973,City Hall,Sheffield,England,Spring 1973 Tour,53.3806626,-1.4702278
11,Mar,1973,Leeds University,Leeds,England,Spring 1973 Tour,53.7974185,-1.5437941
12,Mar,1973,Imperial College,London,England,Spring 1973 Tour,51.4893335,-0.1440551
15,Mar,1973,Colston Hall,Bristol,England,Spring 1973 Tour,51.4538022,-2.5972985
16,Mar,1973,Brighton Dome,Brighton,England,Spring 1973 Tour,50.8214626,-0.1400561
17,Mar,1973,Winter Gardens,Bournemouth,England,Spring 1973 Tour,50.7201514,-1.8799118
18,Mar,1973,Guildhall,Southampton,England,Spring 1973 Tour,50.9025349,-1.404189
22,Mar,1973,Edmonton Sundown,London,England,Spring 1973 Tour,51.4893335,-0.1440551
23,Mar,1973,Edmonton Sundown,London,England,Spring 1973 Tour,51.4893335,-0.1440551
24,Mar,1973,The American School,London,England,Spring 1973 Tour,51.4893335,-0.1440551
25,Mar,1973,Coventry Theatre,Coventry,England,Spring 1973 Tour,52.4081812,-1.510477
26,Mar,1973,Hard Rock,Manchester,England,Spring 1973 Tour,53.4794892,-2.2451148
27,Mar,1973,Hard Rock,Manchester,England,Spring 1973 Tour,53.4794892,-2.2451148
11,Apr,1973,Palasport,Napoli,Italy,Spring 1973 Tour,40.8358846,14.2487679
12,Apr,1973,Palazzo Dello Sport,Rome,Italy,Spring 1973 Tour,41.8933203,12.4829321
14,Apr,1973,Palazzo Azzarita,Bologna,Italy,Spring 1973 Tour,44.4938203,11.3426327
17,Apr,1973,Palazzo Dello Sport,Torino,Italy,Spring 1973 Tour,45.0677551,7.6824892
15,Aug,1973,Municipal Auditorium,Mobile,USA,Summer 1973 Tour,30.6913462,-88.0437509
16,Aug,1973,Sam Houston Coliseum,Houston,USA,Summer 1973 Tour,29.7589382,-95.3676974
17,Aug,1973,San Antonio Convention Center,San Antonio,USA,Summer 1973 Tour,29.4246002,-98.4951405
18,Aug,1973,Cotton Bowl,Dallas,USA,Summer 1973 Tour,32.7762719,-96.7968559
19,Aug,1973,Arrowhead Stadium,Kansas City,USA,Summer 1973 Tour,39.100105,-94.5781416
23,Aug,1973,Metropolitan Sports Center,Minneapolis,USA,Summer 1973 Tour,44.9772995,-93.2654692
24,Aug,1973,International Amphitheater,Chicago,USA,Summer 1973 Tour,41.8755616,-87.6244212
